id,name,party
500,Folge 500,
501,Folge 501,
502,Folge 502,
503,Folge 503,
ul,Ursula von der Leyen,CDU
lk,Lars Klingbeil,SPD
nr,Norbert Röttgen,CDU
sw,Sahra Wagenknecht,Linke
cs,Constanze Stelzenmüller,
cl,Christian Lindner,FDP
ks,Karl Schlögel,
lm,Ljudmyla Melnyk,
kd,Kristina Dunz,
el,Egils Levits,
ab,Annalena Baerbock,Grüne
ft,Frans Timmermans,
am,Andrij Melnyk,
agl,Alexander Graf Lambsdorff,FDP
er,Egon Ramms,
rh,Robert Habeck,Grüne
cm,Claudia Major,
kp,Katja Petrowskaja,
rk,Roderich Kiesewetter,CDU
